study_id,has_doi,doi,year,authors,title,ntu_proxy_link,nycu_proxy_link,direct_doi_link,search_tip
PMID_40305881,YES,10.1016/j.clinph.2025.04.012,2025,Chen Y; Hou X; Zhou H,"Cortical plasticity, therapeutic effects, and neural circuit activity of angular gyrus rTMS in amnestic mild cognitive impairment.",https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.clinph.2025.04.012,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.clinph.2025.04.012,https://doi.org/10.1016/j.clinph.2025.04.012,https://doi.org/10.1016/j.clinph.2025.04.012
PMID_40838395,YES,10.1177/15459683251360731,2025,Riccitelli GC; Beeching F; Lecchi A,Enhancing Social Cognition in Mild Cognitive Impairment with Non-Invasive Brain Stimulation: A Randomized Clinical Trial.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1177/15459683251360731,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1177/15459683251360731,https://doi.org/10.1177/15459683251360731,https://doi.org/10.1177/15459683251360731
PMID_39476073,YES,10.1001/jamapsychiatry.2024.3241,2025,Rajji TK; Bowie CR; Herrmann N,Slowing Cognitive Decline in Major Depressive Disorder and Mild Cognitive Impairment: A Randomized Clinical Trial.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1001/jamapsychiatry.2024.3241,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1001/jamapsychiatry.2024.3241,https://doi.org/10.1001/jamapsychiatry.2024.3241,https://doi.org/10.1001/jamapsychiatry.2024.3241
PMID_38056370,YES,10.1016/j.clinph.2023.11.003,2024,Philippen S; Hanert A; Schönfeld R,Transcranial direct current stimulation of the right temporoparietal junction facilitates hippocampal spatial learning in Alzheimer's disease and mild cognitive impairment.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.clinph.2023.11.003,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.clinph.2023.11.003,https://doi.org/10.1016/j.clinph.2023.11.003,https://doi.org/10.1016/j.clinph.2023.11.003
PMID_40039580,YES,10.1109/embc53108.2024.10782425,2024,Guo Z; Jiang Y; Jiang N,Functional Connectivity of Salience Network Predicts Treatment Outcome for rTMS in Mild Cognitive Impairment.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1109/embc53108.2024.10782425,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1109/embc53108.2024.10782425,https://doi.org/10.1109/embc53108.2024.10782425,https://doi.org/10.1109/embc53108.2024.10782425
PMID_40756002,YES,10.1007/s11571-025-10310-5,2025,Dastgheib ZA; Lithgow BJ; Moussavi ZK,Differential Impact of Repetitive Transcranial Magnetic Stimulation on Alzheimer's Disease Symptomology: Evidence from Electrovestibulography Does repetitive transcranial magnetic stimulation treatment alter Alzheimer's disease symptomology? a clue to show who will benefit.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1007/s11571-025-10310-5,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1007/s11571-025-10310-5,https://doi.org/10.1007/s11571-025-10310-5,https://doi.org/10.1007/s11571-025-10310-5
PMID_38908485,YES,10.1016/j.bbr.2024.115117,2024,Lv T; Chen Y; Hou X,Anterior-temporal hippocampal network mechanisms of left angular gyrus-navigated rTMS for memory improvement in aMCI: A sham-controlled study.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.bbr.2024.115117,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.bbr.2024.115117,https://doi.org/10.1016/j.bbr.2024.115117,https://doi.org/10.1016/j.bbr.2024.115117
PMID_38105601,YES,10.1177/15500594231215847,2024,Kim J; Park S; Kim H,"Home-based, Remotely Supervised, 6-Week tDCS in Patients With Both MCI and Depression: A Randomized Double-Blind Placebo-Controlled Trial.",https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1177/15500594231215847,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1177/15500594231215847,https://doi.org/10.1177/15500594231215847,https://doi.org/10.1177/15500594231215847
PMID_41015617,YES,10.1007/s11357-025-01888-z,2025,Wang T; Guo M; Wu H,rTMS modulates early AD progression via synergistic brain network reorganization and peripheral biomarker dynamics.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1007/s11357-025-01888-z,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1007/s11357-025-01888-z,https://doi.org/10.1007/s11357-025-01888-z,https://doi.org/10.1007/s11357-025-01888-z
PMID_40123238,YES,10.1177/13872877251320124,2025,Shi X; Zheng WA; Hou XL,Differential effects of 2 and 4 weeks repetitive transcranial magnetic stimulation inducing neuroplasticity on cognitive improvement.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1177/13872877251320124,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1177/13872877251320124,https://doi.org/10.1177/13872877251320124,https://doi.org/10.1177/13872877251320124
