citation,study_id,action,source_rank,outcome_fields,has_pmid,doi,title
"Yao et al., Brain Stimulation 2022",PMID_40801847,REMOVE,0,0,Y,10.1177/13872877251366656,Effects of cerebellar intermittent theta-burst stimulation on patients with Alzh
"Yao et al., Brain Stimulation 2022",PMID_38944654,REMOVE,0,0,Y,10.1038/s41582-024-00976-6,Non-invasive stimulation for treating cognitive impairment in Alzheimer disease.
"Yao et al., Brain Stimulation 2022",PMID_35700915,KEEP,0,6,Y,10.1016/j.brs.2022.06.004,Effect of cerebellum stimulation on cognitive recovery in patients with Alzheime
"Yao et al., Brain Stimulation 2022",RIS_records 2001-2495_86,REMOVE,3,0,N,,Neurostimulation and Cognitive Intervention in Alzheimer's Disease
"Yao et al., Brain Stimulation 2022",RIS_records 501-1000_31,REMOVE,3,1,N,,Effects of Cerebellar Transcranial Magnetic Stimulation on Patients with Alzheim
"Yao et al., Brain Stimulation 2022",RIS_records 501-1000_161,REMOVE,3,0,N,,Effects of Repetitive Transcranial Magnetic Stimulation on Sleep and Cognitive F
"Meinzer et al., Alzheimer's & Dementia 2014",PMID_40513355,KEEP,0,6,Y,10.1016/j.nicl.2025.103819,Network-targeted transcranial magnetic stimulation (TMS) for mild cognitive impa
"Meinzer et al., Alzheimer's & Dementia 2014",RIS_cochrane_340,REMOVE,3,6,N,10.1002/alz.076315,The PACt-MD randomized clinical trial: prevention of Alzheimer's dementiawith Co
"Meinzer et al., Alzheimer's & Dementia 2014",RIS_records 2001-2495_180,REMOVE,3,6,N,,Prevention of Alzheimer's Dimentia With Cognitive Remediation Plus Transcranial 
"Meinzer et al., Alzheimer's & Dementia 2014",RIS_records 2001-2495_199,REMOVE,3,6,N,,A Study for the Short- and Long-term Improvement of Cognitive Function (Evaluate
"Meinzer et al., Alzheimer's & Dementia 2014",RIS_records 2001-2495_226,REMOVE,3,8,N,,Transcranial Magnetic Stimulation for Apathy in Mild Cognitive Impairment:Pilot 
"Cantoni et al., JAMA Network Open 2025",PMID_41359335,KEEP,0,36,Y,10.1001/jamanetworkopen.2025.46556,Home-Based Gamma Transcranial Alternating Current Stimulation in Patients With A
"Cantoni et al., JAMA Network Open 2025",RIS_cochrane_45,REMOVE,3,18,N,10.1016/j.clinph.2013.04.311,Transcranial direct current stimulation and Alzheimer's disease
"Cantoni et al., JAMA Network Open 2025",RIS_records 1001-1500_54,REMOVE,3,18,N,,Markers of Clinical and Biological Response to Home Delivered Transcranial Alter
"Cantoni et al., JAMA Network Open 2025",RIS_records 1501-2000_136,REMOVE,3,18,N,,The Efficacy of 4Hz Transcranial Alternating Current Stimulation for Patients Wi
"Cantoni et al., JAMA Network Open 2025",RIS_records 501-1000_87,REMOVE,3,18,N,,Effect of Transcranial Alternating Current Stimulation(tACS) for Early Alzheimer
"Warren et al., Alzheimer's Dement 2023",PMID_39604076,KEEP,0,0,Y,10.1093/cercor/bhae460,Comparative efficacy of intermittent theta burst stimulation and high-frequency 
"Warren et al., Alzheimer's Dement 2023",RIS_cochrane_572,REMOVE,3,0,N,10.1002/alz.081816,Interventional clinical trial findings from targeted multiday repetitive transcr
"Warren et al., Alzheimer's Dement 2023",RIS_cochrane_716,REMOVE,3,2,N,10.1002/alz.078533,Interventional clinical trial findings from targetedmultiday repetitive transcra
"Cui et al., Alzheimer's Dement 2021",PMID_36125835,KEEP,0,2,Y,10.2174/1567205019666220920090919,High Frequency Repetitive Transcranial Magnetic Stimulation Improves Cognitive P
"Cui et al., Alzheimer's Dement 2021",RIS_cochrane_415,REMOVE,3,2,N,,Cognitive effects of highfrequency repetitive transcranial magnetic stimulation 
"Cui et al., Alzheimer's Dement 2021",RIS_cochrane_697,REMOVE,3,4,N,10.1002/alz.050257,The combination of acetylcholinesterase inhibitor therapy and high-frequency rep
"Koch et al., Brain Stimulation 2023",RIS_cochrane_307,KEEP,3,2,N,,Transcranial magnetic stimulation of deep brain regions in Alzheimer's disease
"Koch et al., Brain Stimulation 2023",RIS_cochrane_417,REMOVE,3,2,N,10.1016/j.brs.2023.01.284,Repetitive transcranial magnetic stimulation of the precuneus as a new promising
"Koch et al., Brain Stimulation 2023",RIS_records 2001-2495_227,REMOVE,3,2,N,,Repetitive Transcranial Magnetic Stimulation for Apathy in Alzheimer's Dementia
"Liu et al., Clinical Neurophysiology 2021",RIS_cochrane_360,KEEP,3,20,N,,Non-invasive brain modulation of aberrant networks in Alzheimer's disease
"Liu et al., Clinical Neurophysiology 2021",RIS_cochrane_696,REMOVE,3,10,N,10.1016/j.clinph.2021.02.132,O-TS005. Significant effects on functional integration within the parietal memor
"Liu et al., Clinical Neurophysiology 2021",RIS_cochrane_749,REMOVE,3,20,N,,Clinical Application of tDCS in Alzheimers Disease
"Chu et al., Journal of Alzheimer's Disease 2025",PMID_40984052,KEEP,0,5,Y,10.1177/13872877251376547,Effectiveness and safety of high-definition transcranial direct current stimulat
"Chu et al., Journal of Alzheimer's Disease 2025",RIS_records 1501-2000_119,REMOVE,3,5,N,,The Effect of High Definition Transcranial Direct Current Stimulation (HD-tDCS) 
"Li et al., Brain Stimulation 2021",PMID_40420669,KEEP,0,32,Y,10.1177/13872877251344599,Individual electric field in cortical white matter is correlated with cognitive 
